_id,courseCode,courseName,numUnits
5e785f4e69ca261bb4578e81,BASMATH,Algebra Trigonometry and Analytical Geometry,5
5e785f4e69ca261bb4578e82,BASSTAT,Statistics,3
5e785f4e69ca261bb4578e83,CCAPDEV,Web Application Development,3
5e785f4e69ca261bb4578e84,CCDSALG,Data Structures and Algorithms,3
5e785f4e69ca261bb4578e85,CCDSTRU,Discrete Structures,3
5e785f4e69ca261bb4578e86,CCICOMP,Introduction to Computing,3
5e785f4e69ca261bb4578e87,CCINFOM,Information Management,3
5e785f4e69ca261bb4578e88,CCPROG1,Logic Formulation and Introductory Programming,3
5e785f4e69ca261bb4578e89,CCPROG2,Programming with Structured Data Types,3
5e785f4e69ca261bb4578e8a,CCPROG3,Object-Oriented Programming,3
5e785f4e69ca261bb4578e8b,GEDANCE,Physical Fitness and Wellness in Dance,2
5e785f4e69ca261bb4578e8c,GEFILI1,Introduksyon sa Filipinohiya,3
5e785f4e69ca261bb4578e8d,GEFILI2,Mga Usaping Pangwika sa Iba't Ibang Larangan,3
5e785f4e69ca261bb4578e8e,GEFTWEL,Physical Fitness and Wellness,2
5e785f4e69ca261bb4578e8f,GEMATMW,Mathematics in the Modern World,3
5e785f4e69ca261bb4578e90,GEPCOMM,Purposive Communication,3
5e785f4e69ca261bb4578e91,GERPHIS,Readings in Philippine History,3
5e785f4e69ca261bb4578e92,GESPORT,Physical Fitness and Wellness in Individual Sports,2
5e785f4e69ca261bb4578e93,GEUSELF,Understanding the Self,3
5e785f4e69ca261bb4578e94,ISBISPR,Organizations and Business Processes,3
5e785f4e69ca261bb4578e95,ISBUSPE,Business Performance,3
5e785f4e69ca261bb4578e96,ISFINMA,Financial and Managerial Accounting,3
5e785f4e69ca261bb4578e97,ISFOUND,Information Systems Foundation,3
5e785f4e69ca261bb4578e98,ISINFOM,Transaction Management & Descriptive Analytics,3
5e785f4e69ca261bb4578e99,ISOPRES,Introduction to Operations Research,3
5e785f4e69ca261bb4578e9a,ITISHCI,Human-Computer Interaction,3
5e785f4e69ca261bb4578e9b,ITISORG,Organization and Management Concepts,3
5e785f4e69ca261bb4578e9c,LASARE1,Lasallian Retreat 1,0
5e785f4e69ca261bb4578e9d,LASARE2,Lasallian Retreat 2,0
5e785f4e69ca261bb4578e9e,LCFAITH,Faith Worth Living,3
5e785f4e69ca261bb4578e9f,LCLSONE,Lasallian Studies 1,1
5e785f4e69ca261bb4578ea0,LCLSTWO,Lasallian Studies 2,1
5e785f4e69ca261bb4578ea1,NSTP101,National Service Training Program - General Orientation,0
5e785f4e69ca261bb4578ea2,NSTPLT1,Literacy Training Service 1,3
5e785f4e69ca261bb4578ea3,NSTPLT2,Literacy Training Service 2,3
5e785f4e69ca261bb4578ea4,NSTPCW1,Civic Welfare Training Service 1,3
5e785f4e69ca261bb4578ea5,NSTPCW2,Civic Welfare Training Service 2,3
5e785f4e69ca261bb4578ea6,NSTPRO1,Reserve Officers' Training Corps 1,3
5e785f4e69ca261bb4578ea7,NSTPRO2,Reserve Officers' Training Corps 2,3
5e785f4e69ca261bb4578ea8,GEWORLD,The Contemporary World,3
5e785f4e69ca261bb4578ea9,GEARTAP,Art Appreciation,3
5e785f4e69ca261bb4578eaa,GESTSOC,Science Technology and the Society,3
5e785f4e69ca261bb4578eab,GEETHIC,Ethics,3
5e785f4e69ca261bb4578eac,GERIZAL,Life and Works of Rizal,3
5e785f4e69ca261bb4578ead,GELITPH,Literatures of the Philippines,3
5e785f4e69ca261bb4578eae,GETEAMS,Physical Fitness and Wellness in Team Sports,2
5e785f4e69ca261bb4578eaf,LCENWRD,Encountering the Word in the World,3
5e785f4e69ca261bb4578eb0,LCASEAN,The Filipino and ASEAN,3
5e785f4e69ca261bb4578eb1,LCLSTRI,Lasallian Studies 3,1
5e785f4e69ca261bb4578eb2,LASARE3,Lasallian Retreat 3,0
5e785f4e69ca261bb4578eb3,CCINOV8,Innovation and Technology Management,3
5e785f4e69ca261bb4578eb4,ITISDEV,Business Applications Development,3
5e785f4e69ca261bb4578eb5,ISANDE1,Systems Analysis,3
5e785f4e69ca261bb4578eb6,ISINFRA,Introduction to IT Infrastructures,3
5e785f4e69ca261bb4578eb7,MOBDEVE,Mobile Applications Development,3
5e785f4e69ca261bb4578eb8,ISANDE2,Systems Design & Development,3
5e785f4e69ca261bb4578eb9,ISSYSAD,Systems Administration,3
5e785f4e69ca261bb4578eba,ISRESME,IS Research Methods,3
5e785f4e69ca261bb4578ebb,ITISSES,Special Enterprise Systems,3
5e785f4e69ca261bb4578ebc,ISSYSQA,Systems Quality Assurance,3
5e785f4e69ca261bb4578ebd,ISPRENL,Predictive Analytics,3
5e785f4e69ca261bb4578ebe,ISENTAR,Enterprise Architecture,3
5e785f4e69ca261bb4578ebf,ISSECUR,Information Security,3
5e785f4e69ca261bb4578ec0,ISSTRMA,IT Strategic Management,3
5e785f4e69ca261bb4578ec1,ITISPRJ,IT Project Management,3
5e785f4e69ca261bb4578ec2,ISTREND,Trends in Information Systems,3
5e785f4e69ca261bb4578ec3,ISELEC1,IS Elective 1,3
5e785f4e69ca261bb4578ec4,ISELEC2,IS Elective 2,3
5e785f4e69ca261bb4578ec5,ISELEC3,IS Elective 3,3
5e785f4e69ca261bb4578ec6,ISELEC4,IS Elective 4,3
5e785f4e69ca261bb4578ec7,ISCAPR1,IS Capstone Project 1,2
5e785f4e69ca261bb4578ec8,ISCAPR2,IS Capstone Project 2,2
5e785f4e69ca261bb4578ec9,ISPRACT,IS Practicum,3
